,ID,ZooID,location,mean_probability,category,kind,flavor,state,status,truth,stage
0,5183f151e4bb21021901025a,ASW0001f16,http://spacewarps.org/subjects/standard/5183f151e4bb21021901025a.png,1.9999999999999633e-08,training,dud,dud,active,rejected,NOT,1
1,5183f151e4bb21021901025b,ASW0001f17,http://spacewarps.org/subjects/standard/5183f151e4bb21021901025b.png,1.9999999999999633e-08,training,dud,dud,active,rejected,NOT,1
2,5183f151e4bb21021901025c,ASW0001f18,http://spacewarps.org/subjects/standard/5183f151e4bb21021901025c.png,2.2361308617683722e-08,training,dud,dud,active,rejected,NOT,1
3,5183f151e4bb21021901025e,ASW0001f1a,http://spacewarps.org/subjects/standard/5183f151e4bb21021901025e.png,1.9999999999999633e-08,training,dud,dud,active,rejected,NOT,1
4,5183f151e4bb21021901025f,ASW0001f1b,http://spacewarps.org/subjects/standard/5183f151e4bb21021901025f.png,1.9999999999999633e-08,training,dud,dud,active,rejected,NOT,1
5,5183f151e4bb2102190662ee,ASW0008yy6,http://spacewarps.org/subjects/standard/5183f151e4bb2102190662ee.png,1.0,training,sim,lensing cluster,active,detected,LENS,1
6,5183f151e4bb210219045234,ASW00062ic,http://spacewarps.org/subjects/standard/5183f151e4bb210219045234.png,1.0,training,sim,lensed galaxy,active,detected,LENS,1
7,5183f151e4bb210219010250,ASW0001f0w,http://spacewarps.org/subjects/standard/5183f151e4bb210219010250.png,2.6383984814720994e-08,training,dud,dud,active,rejected,NOT,1
8,5183f151e4bb210219010251,ASW0001f0x,http://spacewarps.org/subjects/standard/5183f151e4bb210219010251.png,1.9999999999999633e-08,training,dud,dud,active,rejected,NOT,1
9,5183f151e4bb210219010252,ASW0001f0y,http://spacewarps.org/subjects/standard/5183f151e4bb210219010252.png,1.9999999999999633e-08,training,dud,dud,active,rejected,NOT,1
10,5183f151e4bb210219010253,ASW0001f0z,http://spacewarps.org/subjects/standard/5183f151e4bb210219010253.png,1.9999999999999633e-08,training,dud,dud,active,rejected,NOT,1
11,5183f151e4bb210219010254,ASW0001f10,http://spacewarps.org/subjects/standard/5183f151e4bb210219010254.png,2.123949022569178e-08,training,dud,dud,active,rejected,NOT,1
12,5183f151e4bb210219010255,ASW0001f11,http://spacewarps.org/subjects/standard/5183f151e4bb210219010255.png,1.9999999999999633e-08,training,dud,dud,active,rejected,NOT,1
13,5183f151e4bb210219010257,ASW0001f13,http://spacewarps.org/subjects/standard/5183f151e4bb210219010257.png,1.9999999999999633e-08,training,dud,dud,active,rejected,NOT,1
14,5183f151e4bb210219010258,ASW0001f14,http://spacewarps.org/subjects/standard/5183f151e4bb210219010258.png,2.0008980497909072e-08,training,dud,dud,active,rejected,NOT,1
15,5183f151e4bb210219010259,ASW0001f15,http://spacewarps.org/subjects/standard/5183f151e4bb210219010259.png,1.9999999999999633e-08,training,dud,dud,active,rejected,NOT,1
16,5183f151e4bb21021901dcf9,ASW0002m7t,http://spacewarps.org/subjects/standard/5183f151e4bb21021901dcf9.png,0.1592312667161472,training,sim,lensed quasar,active,undecided,LENS,1
